Node ID	No Taxa	Original BL	No different from original	Pct time scaled	Mean Scalar	Mode Scalar	Median Scalar	SD Scalar	Mean SigV	Mode SigV	Median SigV	SD SigV	Mean DeltaB	Mode DeltaB	Median DeltaB	SD DeltaB	Mean DeltaV	Mode DeltaV	Median DeltaV	SD DeltaV	Taxa List	
33	1	14.071125	2686	53.720000	0.854682	1.002724	1.000000	0.502402	0.000873	0.000731	0.000810	0.000465	0.024001	0.010958	0.013705	0.035766	0.012290	0.010289	0.011402	0.006540	Egernia_rugosa	
34	4	4.128795	2802	56.040000	1.119544	1.016779	1.000000	1.895700	0.001133	0.000745	0.000831	0.001586	0.007043	0.003215	0.004021	0.010495	0.004677	0.003076	0.003431	0.006548	Egernia_cunninghami,Egernia_mcpheei,Egernia_saxatilis,Egernia_striolata	
35	2	4.762950	2801	56.020000	0.870212	1.001371	1.000000	0.613398	0.000887	0.000745	0.000815	0.000544	0.008124	0.003709	0.004639	0.012107	0.004223	0.003547	0.003882	0.002591	Egernia_cunninghami,Egernia_saxatilis	
36	1	6.487700	2870	57.400000	1.016740	1.006749	1.000000	1.234077	0.001026	0.000747	0.000833	0.001042	0.011066	0.005052	0.006319	0.016491	0.006657	0.004844	0.005404	0.006763	Egernia_saxatilis	
37	1	6.487700	2819	56.380000	0.954728	0.987109	1.000000	1.194354	0.000965	0.000749	0.000824	0.000998	0.011066	0.005052	0.006319	0.016491	0.006262	0.004858	0.005343	0.006475	Egernia_cunninghami	
38	2	1.184650	2901	58.020000	1.183005	1.005363	1.000000	2.410135	0.001242	0.000754	0.000824	0.002339	0.002021	0.000923	0.001154	0.003011	0.001471	0.000894	0.000976	0.002771	Egernia_mcpheei,Egernia_striolata	
39	1	10.066000	2802	56.040000	0.866573	0.997415	1.000000	0.763015	0.000880	0.000754	0.000807	0.000565	0.017170	0.007839	0.009804	0.025586	0.008861	0.007593	0.008123	0.005689	Egernia_mcpheei	
40	1	10.066000	2805	56.100000	0.848637	0.998552	1.000000	0.551207	0.000863	0.000750	0.000805	0.000396	0.017170	0.007839	0.009804	0.025586	0.008692	0.007546	0.008103	0.003983	Egernia_striolata	
41	3	4.534425	2605	52.100000	0.834661	0.997862	1.000000	0.753517	0.000847	0.000735	0.000769	0.000663	0.007734	0.003531	0.004417	0.011526	0.003840	0.003332	0.003487	0.003005	Bellatorias_frerei,Bellatorias_major,Bellatorias_obiri	
42	2	1.902950	2810	56.200000	0.826794	0.993588	1.000000	1.058262	0.000837	0.000704	0.000751	0.001065	0.003246	0.001482	0.001853	0.004837	0.001593	0.001339	0.001429	0.002027	Bellatorias_frerei,Bellatorias_major	
43	1	10.936800	2785	55.700000	0.758374	0.997917	1.000000	0.436717	0.000772	0.000715	0.000746	0.000359	0.018655	0.008517	0.010652	0.027799	0.008439	0.007822	0.008159	0.003922	Bellatorias_major	
44	1	10.936800	2782	55.640000	0.759143	0.995220	1.000000	0.441039	0.000773	0.000715	0.000748	0.000370	0.018655	0.008517	0.010652	0.027799	0.008456	0.007816	0.008180	0.004049	Bellatorias_frerei	
45	1	12.839750	2585	51.700000	0.811741	1.007144	1.000000	0.693440	0.000824	0.000732	0.000769	0.000527	0.021901	0.009999	0.012506	0.032636	0.010579	0.009394	0.009874	0.006773	Bellatorias_obiri	
